lat,lon,value,power,crl,flag
72.98714301067018,-130.36453657309735,"{""a"": 87.06187216127952, ""s"": 7.640320577133437, ""mu"": 1.0, ""pt"": 0.009699883621262888, ""ID"": -1}","{""pt"": 38.7965600380887, ""pc"": 38.7965600380887, ""pn"": 20.67253158354417, ""pc-pn"": 18.12402845454453, ""mu"": 1.0}",0.909667079427392,1
73.07722768341122,-130.33945451741968,"{""a"": 89.25507581082063, ""s"": 5.0273554137622405, ""mu"": 1.8481815229218268, ""pt"": 0.01014853562381342, ""ID"": -1}","{""pt"": 38.857895282941, ""pc"": 39.01265846407653, ""pn"": 19.704537981274427, ""pc-pn"": 19.308120482802103, ""mu"": 1.8481815229218268}",0.9852263939547089,1
73.16732938862945,-130.3141001604973,"{""a"": 90.02717530831042, ""s"": 4.697737702486466, ""mu"": 1.7763655596108634, ""pt"": 0.009904582886646075, ""ID"": -1}","{""pt"": 38.91150941253124, ""pc"": 39.08747247878525, ""pn"": 18.94339868789927, ""pc-pn"": 20.144073790885983, ""mu"": 1.7763655596108634}",0.9752634293130237,1
73.2574479703315,-130.28846905389847,"{""a"": 90.83117234079765, ""s"": 3.9262557104814775, ""mu"": 2.0743032557246748, ""pt"": 0.009872208388244636, ""ID"": -1}","{""pt"": 38.99547497087288, ""pc"": 39.16469839162928, ""pn"": 18.058594067799195, ""pc-pn"": 21.106104323830085, ""mu"": 2.0743032557246748}",0.9799051402886038,1
73.3475832712045,-130.26255665198988,"{""a"": 90.71807970448387, ""s"": 4.754496901060402, ""mu"": 1.6845877012759414, ""pt"": 0.009814537671567427, ""ID"": -1}","{""pt"": 38.98687552655592, ""pc"": 39.15387697238472, ""pn"": 18.817327586933597, ""pc-pn"": 20.336549385451125, ""mu"": 1.6845877012759414}",0.9760531299508644,1
73.43773513258414,-130.2363583092738,"{""a"": 91.3882973615754, ""s"": 4.332511523516327, ""mu"": 1.5534015584589547, ""pt"": 0.010031249682489807, ""ID"": -1}","{""pt"": 39.11520788343849, ""pc"": 39.2178117228412, ""pn"": 17.65793185219422, ""pc-pn"": 21.559879870646977, ""mu"": 1.5534015584589547}",0.989289360617364,1
73.52790339442164,-130.20986927763678,"{""a"": 91.2730331919135, ""s"": 2.214516143709365, ""mu"": 5.468478044991824, ""pt"": 0.009903864572667297, ""ID"": -1}","{""pt"": 39.12749342978357, ""pc"": 39.20684966549978, ""pn"": 17.294541697333727, ""pc-pn"": 21.912307968166054, ""mu"": 5.468478044991824}",0.9892459324802672,1
73.6180878952495,-130.18308470350738,"{""a"": 89.80262930516594, ""s"": 1.6943342274568343, ""mu"": 8.38994795645509, ""pt"": 0.009902787263329724, ""ID"": -1}","{""pt"": 39.01307636100083, ""pc"": 39.065781048715365, ""pn"": 16.82787430868807, ""pc-pn"": 22.237906740027295, ""mu"": 8.38994795645509}",0.9953305478128707,1
73.70828847214636,-130.15599962491933,"{""a"": 89.00867623727032, ""s"": 3.2878485232958057, ""mu"": 2.2505026476128087, ""pt"": 0.010029276394709038, ""ID"": -1}","{""pt"": 38.96049225017739, ""pc"": 38.98864684263237, ""pn"": 16.87133125171519, ""pc-pn"": 22.11731559091718, ""mu"": 2.2505026476128087}",0.996329525606319,1
73.79850496070033,-130.1286089684759,"{""a"": 88.87569353094466, ""s"": 2.8682331291232996, ""mu"": 2.1974627282672587, ""pt"": 0.009968480381959844, ""ID"": -1}","{""pt"": 38.95254994782747, ""pc"": 38.97566005433161, ""pn"": 15.581804088011097, ""pc-pn"": 23.393855966320515, ""mu"": 2.1974627282672587}",0.9958377696404926,1
